DATE,CUSR0000SAH1
01/01/2002,205.1
01/02/2002,206
01/03/2002,206.3
01/04/2002,207
01/05/2002,207.4
01/06/2002,207.8
01/07/2002,208.2
01/08/2002,208.9
01/09/2002,209.4
01/10/2002,209.7
01/11/2002,210.4
01/12/2002,210.8
01/01/2003,211.5
01/02/2003,211.6
01/03/2003,211.5
01/04/2003,211.6
01/05/2003,212.6
01/06/2003,212.6
01/07/2003,213.2
01/08/2003,213.6
01/09/2003,214
01/10/2003,214.7
01/11/2003,215.1
01/12/2003,215.5
01/01/2004,215.9
01/02/2004,215.8
01/03/2004,217
01/04/2004,217.8
01/05/2004,218.5
01/06/2004,218.9
01/07/2004,219.3
01/08/2004,219.6
01/09/2004,220.4
01/10/2004,220.7
01/11/2004,220.9
01/12/2004,221.3
01/01/2005,221.7
01/02/2005,222.5
01/03/2005,223.7
01/04/2005,223.7
01/05/2005,223.8
01/06/2005,224
01/07/2005,224.6
01/08/2005,224.9
01/09/2005,224.6
01/10/2005,225.8
01/11/2005,226.5
01/12/2005,227.1
01/01/2006,227.5
01/02/2006,228.3
01/03/2006,229.3
01/04/2006,230.1
01/05/2006,231
01/06/2006,231.9
01/07/2006,232.7
01/08/2006,233.5
01/09/2006,234
01/10/2006,235
01/11/2006,235.8
01/12/2006,236.5
01/01/2007,237.255
01/02/2007,238.107
01/03/2007,238.538
01/04/2007,239.14
01/05/2007,239.637
01/06/2007,240.345
01/07/2007,240.843
01/08/2007,241.45
01/09/2007,242.037
01/10/2007,242.581
01/11/2007,243.305
01/12/2007,243.979
01/01/2008,244.564
01/02/2008,244.926
01/03/2008,245.659
01/04/2008,245.608
01/05/2008,245.902
01/06/2008,246.406
01/07/2008,246.863
01/08/2008,247.208
01/09/2008,247.723
01/10/2008,247.995
01/11/2008,248.486
01/12/2008,248.508
01/01/2009,248.963
01/02/2009,249.087
01/03/2009,249.36
01/04/2009,249.579
01/05/2009,249.643
01/06/2009,249.492
01/07/2009,249.149
01/08/2009,249.519
01/09/2009,249.415
01/10/2009,249.643
01/11/2009,249.211
01/12/2009,249.219
01/01/2010,248.034
01/02/2010,247.997
01/03/2010,247.914
01/04/2010,247.959
01/05/2010,248.128
01/06/2010,248.295
01/07/2010,248.43
01/08/2010,248.43
01/09/2010,248.568
01/10/2010,248.692
01/11/2010,248.993
01/12/2010,249.284
01/01/2011,249.621
01/02/2011,249.924
01/03/2011,250.158
01/04/2011,250.412
01/05/2011,250.66
01/06/2011,251.178
01/07/2011,251.834
01/08/2011,252.329
01/09/2011,252.668
01/10/2011,253.184
01/11/2011,253.619
01/12/2011,254.15
01/01/2012,254.512
01/02/2012,254.951
01/03/2012,255.474
01/04/2012,256.056
01/05/2012,256.451
01/06/2012,256.813
01/07/2012,257.153
01/08/2012,257.647
01/09/2012,258.233
01/10/2012,258.816
01/11/2012,259.216
01/12/2012,259.644
01/01/2013,260.142
01/02/2013,260.719
01/03/2013,261.176
01/04/2013,261.679
01/05/2013,262.263
01/06/2013,262.797
01/07/2013,263.239
01/08/2013,263.86
01/09/2013,264.321
01/10/2013,264.684
01/11/2013,265.496
01/12/2013,266.228
01/01/2014,266.892
01/02/2014,267.481
01/03/2014,268.287
01/04/2014,268.923
01/05/2014,269.715
01/06/2014,270.149
01/07/2014,270.891
01/08/2014,271.493
01/09/2014,272.118
01/10/2014,272.73
01/11/2014,273.436
01/12/2014,273.997
01/01/2015,274.762
01/02/2015,275.47
01/03/2015,276.258
01/04/2015,277.003
01/05/2015,277.524
01/06/2015,278.284
01/07/2015,279.329
01/08/2015,279.921
01/09/2015,280.737
01/10/2015,281.429
01/11/2015,282.129
01/12/2015,282.779
01/01/2016,283.714
01/02/2016,284.502
01/03/2016,285.122
01/04/2016,285.853
01/05/2016,286.855
01/06/2016,287.819
01/07/2016,288.524
01/08/2016,289.367
01/09/2016,290.369
01/10/2016,291.378
01/11/2016,292.227
01/12/2016,293.066
01/01/2017,293.769
01/02/2017,294.543
01/03/2017,295.012
01/04/2017,295.741
01/05/2017,296.461
01/06/2017,297.215
01/07/2017,297.676
01/08/2017,298.904
01/09/2017,299.711
01/10/2017,300.814
01/11/2017,301.43
01/12/2017,302.428
01/01/2018,303.213
01/02/2018,303.784
01/03/2018,304.812
01/04/2018,305.72
01/05/2018,306.808
01/06/2018,307.183
01/07/2018,308.05
01/08/2018,309.004
01/09/2018,309.522
01/10/2018,310.401
01/11/2018,311.247
01/12/2018,312.132
01/01/2019,313.002
01/02/2019,314.063
01/03/2019,315.106
01/04/2019,316.237
01/05/2019,317.093
01/06/2019,317.937
01/07/2019,318.764
01/08/2019,319.362
01/09/2019,320.374
01/10/2019,320.815
01/11/2019,321.567
01/12/2019,322.204
01/01/2020,323.409
01/02/2020,324.501
01/03/2020,324.6
01/04/2020,324.504
01/05/2020,325.22
01/06/2020,325.491
01/07/2020,326.249
01/08/2020,326.693
01/09/2020,326.95
01/10/2020,327.32
01/11/2020,327.683
01/12/2020,328.095
01/01/2021,328.564
01/02/2021,329.217
01/03/2021,330.113
01/04/2021,331.312
01/05/2021,332.389
01/06/2021,333.796
01/07/2021,335.35
01/08/2021,335.901
01/09/2021,337.283
01/10/2021,338.772
01/11/2021,340.36
01/12/2021,341.802
01/01/2022,342.953
01/02/2022,344.88
01/03/2022,346.61
01/04/2022,348.328
01/05/2022,350.489
01/06/2022,352.514
01/07/2022,354.53
01/08/2022,356.91
01/09/2022,359.565
01/10/2022,362.16
01/11/2022,364.48
01/12/2022,367.355
