DATE,NHSUSSPT
01/01/2002,66
01/02/2002,84
01/03/2002,90
01/04/2002,86
01/05/2002,88
01/06/2002,84
01/07/2002,82
01/08/2002,90
01/09/2002,82
01/10/2002,77
01/11/2002,73
01/12/2002,70
01/01/2003,76
01/02/2003,82
01/03/2003,98
01/04/2003,91
01/05/2003,101
01/06/2003,107
01/07/2003,99
01/08/2003,105
01/09/2003,90
01/10/2003,88
01/11/2003,76
01/12/2003,75
01/01/2004,89
01/02/2004,102
01/03/2004,123
01/04/2004,109
01/05/2004,115
01/06/2004,105
01/07/2004,96
01/08/2004,102
01/09/2004,94
01/10/2004,101
01/11/2004,84
01/12/2004,83
01/01/2005,92
01/02/2005,109
01/03/2005,127
01/04/2005,116
01/05/2005,120
01/06/2005,115
01/07/2005,117
01/08/2005,110
01/09/2005,99
01/10/2005,105
01/11/2005,86
01/12/2005,87
01/01/2006,89
01/02/2006,88
01/03/2006,108
01/04/2006,100
01/05/2006,102
01/06/2006,98
01/07/2006,83
01/08/2006,88
01/09/2006,80
01/10/2006,74
01/11/2006,71
01/12/2006,71
01/01/2007,66
01/02/2007,68
01/03/2007,80
01/04/2007,83
01/05/2007,79
01/06/2007,73
01/07/2007,68
01/08/2007,60
01/09/2007,53
01/10/2007,57
01/11/2007,45
01/12/2007,44
01/01/2008,44
01/02/2008,48
01/03/2008,49
01/04/2008,49
01/05/2008,49
01/06/2008,45
01/07/2008,43
01/08/2008,38
01/09/2008,35
01/10/2008,32
01/11/2008,27
01/12/2008,26
01/01/2009,24
01/02/2009,29
01/03/2009,31
01/04/2009,32
01/05/2009,34
01/06/2009,37
01/07/2009,38
01/08/2009,36
01/09/2009,30
01/10/2009,33
01/11/2009,26
01/12/2009,24
01/01/2010,24
01/02/2010,27
01/03/2010,36
01/04/2010,41
01/05/2010,26
01/06/2010,28
01/07/2010,26
01/08/2010,23
01/09/2010,25
01/10/2010,23
01/11/2010,20
01/12/2010,23
01/01/2011,21
01/02/2011,22
01/03/2011,28
01/04/2011,30
01/05/2011,28
01/06/2011,28
01/07/2011,27
01/08/2011,25
01/09/2011,24
01/10/2011,25
01/11/2011,23
01/12/2011,24
01/01/2012,23
01/02/2012,30
01/03/2012,34
01/04/2012,34
01/05/2012,35
01/06/2012,34
01/07/2012,33
01/08/2012,31
01/09/2012,30
01/10/2012,29
01/11/2012,28
01/12/2012,28
01/01/2013,32
01/02/2013,36
01/03/2013,41
01/04/2013,43
01/05/2013,40
01/06/2013,43
01/07/2013,33
01/08/2013,31
01/09/2013,31
01/10/2013,36
01/11/2013,32
01/12/2013,31
01/01/2014,33
01/02/2014,35
01/03/2014,39
01/04/2014,39
01/05/2014,43
01/06/2014,38
01/07/2014,35
01/08/2014,36
01/09/2014,37
01/10/2014,38
01/11/2014,31
01/12/2014,35
01/01/2015,39
01/02/2015,45
01/03/2015,46
01/04/2015,48
01/05/2015,47
01/06/2015,44
01/07/2015,43
01/08/2015,41
01/09/2015,35
01/10/2015,39
01/11/2015,36
01/12/2015,38
01/01/2016,39
01/02/2016,45
01/03/2016,50
01/04/2016,55
01/05/2016,53
01/06/2016,50
01/07/2016,54
01/08/2016,46
01/09/2016,44
01/10/2016,46
01/11/2016,40
01/12/2016,39
01/01/2017,45
01/02/2017,51
01/03/2017,61
01/04/2017,56
01/05/2017,57
01/06/2017,56
01/07/2017,48
01/08/2017,45
01/09/2017,50
01/10/2017,49
01/11/2017,50
01/12/2017,45
01/01/2018,48
01/02/2018,54
01/03/2018,66
01/04/2018,61
01/05/2018,62
01/06/2018,56
01/07/2018,52
01/08/2018,47
01/09/2018,46
01/10/2018,43
01/11/2018,44
01/12/2018,38
01/01/2019,49
01/02/2019,57
01/03/2019,68
01/04/2019,64
01/05/2019,56
01/06/2019,66
01/07/2019,55
01/08/2019,57
01/09/2019,56
01/10/2019,55
01/11/2019,50
01/12/2019,49
01/01/2020,59
01/02/2020,63
01/03/2020,59
01/04/2020,52
01/05/2020,64
01/06/2020,79
01/07/2020,85
01/08/2020,81
01/09/2020,77
01/10/2020,78
01/11/2020,61
01/12/2020,63
01/01/2021,77
01/02/2021,70
01/03/2021,83
01/04/2021,74
01/05/2021,65
01/06/2021,61
01/07/2021,62
01/08/2021,55
01/09/2021,58
01/10/2021,51
01/11/2021,54
01/12/2021,61
01/01/2022,70
01/02/2022,71
01/03/2022,68
01/04/2022,56
01/05/2022,58
01/06/2022,48
01/07/2022,44
01/08/2022,51
01/09/2022,44
01/10/2022,43
01/11/2022,41
01/12/2022,47
