DATE,CSUSHPISA
01/01/2002,117.144
01/02/2002,117.845
01/03/2002,118.687
01/04/2002,119.611
01/05/2002,120.724
01/06/2002,121.813
01/07/2002,122.888
01/08/2002,123.83
01/09/2002,124.78
01/10/2002,125.735
01/11/2002,126.67
01/12/2002,127.624
01/01/2003,128.461
01/02/2003,129.355
01/03/2003,130.148
01/04/2003,130.884
01/05/2003,131.735
01/06/2003,132.649
01/07/2003,133.777
01/08/2003,134.969
01/09/2003,136.294
01/10/2003,137.531
01/11/2003,138.794
01/12/2003,140.179
01/01/2004,141.646
01/02/2004,143.192
01/03/2004,145.059
01/04/2004,146.593
01/05/2004,148.186
01/06/2004,149.85
01/07/2004,151.338
01/08/2004,152.633
01/09/2004,154.179
01/10/2004,155.75
01/11/2004,157.527
01/12/2004,159.33
01/01/2005,161.288
01/02/2005,163.344
01/03/2005,165.812
01/04/2005,167.501
01/05/2005,169.351
01/06/2005,171.19
01/07/2005,172.86
01/08/2005,174.442
01/09/2005,176.438
01/10/2005,178.028
01/11/2005,179.68
01/12/2005,180.91
01/01/2006,182.321
01/02/2006,183.287
01/03/2006,184.364
01/04/2006,184.329
01/05/2006,184.156
01/06/2006,183.507
01/07/2006,183.068
01/08/2006,182.594
01/09/2006,182.798
01/10/2006,183.198
01/11/2006,183.609
01/12/2006,184.139
01/01/2007,184.517
01/02/2007,184.598
01/03/2007,184.15
01/04/2007,183.01
01/05/2007,181.6
01/06/2007,180.254
01/07/2007,179.111
01/08/2007,178.116
01/09/2007,177.558
01/10/2007,176.624
01/11/2007,175.147
01/12/2007,174.342
01/01/2008,173.132
01/02/2008,171.541
01/03/2008,170.053
01/04/2008,168.338
01/05/2008,166.659
01/06/2008,165.017
01/07/2008,163.566
01/08/2008,161.987
01/09/2008,160.308
01/10/2008,158.327
01/11/2008,156.142
01/12/2008,153.619
01/01/2009,151.507
01/02/2009,150.015
01/03/2009,148.66
01/04/2009,147.949
01/05/2009,147.694
01/06/2009,148.09
01/07/2009,148.41
01/08/2009,148.278
01/09/2009,148.025
01/10/2009,147.85
01/11/2009,148.134
01/12/2009,147.929
01/01/2010,147.396
01/02/2010,145.631
01/03/2010,145.859
01/04/2010,146.403
01/05/2010,146.394
01/06/2010,145.721
01/07/2010,144.991
01/08/2010,143.916
01/09/2010,143.019
01/10/2010,142.531
01/11/2010,142.173
01/12/2010,142.06
01/01/2011,141.521
01/02/2011,140.35
01/03/2011,139.981
01/04/2011,140.01
01/05/2011,139.905
01/06/2011,139.862
01/07/2011,139.73
01/08/2011,139.309
01/09/2011,138.668
01/10/2011,137.952
01/11/2011,137.152
01/12/2011,136.674
01/01/2012,136.607
01/02/2012,136.533
01/03/2012,137.904
01/04/2012,139.154
01/05/2012,140.155
01/06/2012,141.029
01/07/2012,141.669
01/08/2012,142.279
01/09/2012,142.908
01/10/2012,143.6
01/11/2012,144.585
01/12/2012,145.503
01/01/2013,146.827
01/02/2013,147.785
01/03/2013,149.963
01/04/2013,151.519
01/05/2013,152.85
01/06/2013,154.199
01/07/2013,155.604
01/08/2013,156.965
01/09/2013,158.227
01/10/2013,159.242
01/11/2013,160.074
01/12/2013,160.994
01/01/2014,161.927
01/02/2014,162.526
01/03/2014,163.086
01/04/2014,163.393
01/05/2014,163.66
01/06/2014,164.062
01/07/2014,164.577
01/08/2014,165.215
01/09/2014,165.905
01/10/2014,166.642
01/11/2014,167.335
01/12/2014,168.05
01/01/2015,168.634
01/02/2015,169.13
01/03/2015,169.8
01/04/2015,170.298
01/05/2015,170.881
01/06/2015,171.469
01/07/2015,172.13
01/08/2015,172.937
01/09/2015,173.828
01/10/2015,174.792
01/11/2015,175.739
01/12/2015,176.543
01/01/2016,177.274
01/02/2016,177.649
01/03/2016,178.164
01/04/2016,178.767
01/05/2016,179.43
01/06/2016,180.082
01/07/2016,180.832
01/08/2016,181.852
01/09/2016,182.824
01/10/2016,183.751
01/11/2016,184.759
01/12/2016,185.722
01/01/2017,186.805
01/02/2017,187.315
01/03/2017,187.993
01/04/2017,188.725
01/05/2017,189.617
01/06/2017,190.51
01/07/2017,191.452
01/08/2017,192.665
01/09/2017,193.759
01/10/2017,194.804
01/11/2017,195.955
01/12/2017,197.172
01/01/2018,198.315
01/02/2018,199.232
01/03/2018,199.966
01/04/2018,200.658
01/05/2018,201.425
01/06/2018,202.233
01/07/2018,202.913
01/08/2018,203.689
01/09/2018,204.349
01/10/2018,205.112
01/11/2018,205.669
01/12/2018,206.156
01/01/2019,206.539
01/02/2019,206.862
01/03/2019,207.066
01/04/2019,207.513
01/05/2019,208.136
01/06/2019,208.649
01/07/2019,209.287
01/08/2019,210.093
01/09/2019,210.904
01/10/2019,211.791
01/11/2019,212.787
01/12/2019,213.933
01/01/2020,214.994
01/02/2020,215.864
01/03/2020,216.402
01/04/2020,216.812
01/05/2020,216.98
01/06/2020,217.616
01/07/2020,219.378
01/08/2020,222.391
01/09/2020,225.837
01/10/2020,229.753
01/11/2020,233.208
01/12/2020,236.486
01/01/2021,239.56
01/02/2021,242.369
01/03/2021,245.465
01/04/2021,249.07
01/05/2021,253.407
01/06/2021,258.358
01/07/2021,262.82
01/08/2021,266.845
01/09/2021,270.377
01/10/2021,273.725
01/11/2021,277.21
01/12/2021,281.342
01/01/2022,285.924
01/02/2022,291.153
01/03/2022,296.445
01/04/2022,300.573
01/05/2022,303.762
01/06/2022,304.724
01/07/2022,303.879
01/08/2022,301.473
01/09/2022,299.353
01/10/2022,298.873
01/11/2022,298.269
01/12/2022,297.413
